id,data_inversa,ano,mes,uf,br,km,obra_duplicada,UPS,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude
261580,08/01/2020,2020,1,MG,381,502.8,sem obra,5,2,0,1,0,1,0,1,2,-2.003.619.694,-4.424.586.303
261642,09/01/2020,2020,1,MG,381,934.4,sem obra,5,1,0,1,0,0,0,1,1,-2.282.007.572,-4.629.934.031
261649,09/01/2020,2020,1,MG,381,412,Lote7,5,2,0,0,1,1,0,1,2,-1.974.246.971,-4.355.529.785
261695,09/01/2020,2020,1,MG,381,500,sem obra,5,1,0,1,0,0,0,1,1,-2.002.513.493,-4.423.112.709
261700,09/01/2020,2020,1,MG,381,606.6,sem obra,5,4,0,1,0,3,0,1,1,-2.067.638.406,-4.473.850.226
261715,09/01/2020,2020,1,MG,381,497,sem obra,5,2,0,1,0,0,1,1,2,-2.000.483.625,-4.421.367.172
261751,09/01/2020,2020,1,MG,381,744,sem obra,5,2,0,2,0,0,0,2,1,-2.163.153.073,-4.527.650.319
261756,09/01/2020,2020,1,MG,381,543.9,sem obra,5,3,0,1,0,2,0,1,1,-2.025.416.581,-4.441.291.025
261758,09/01/2020,2020,1,MG,381,543.9,sem obra,1,1,0,0,0,1,0,0,1,-2.025.415.474,-4.441.289.415
261775,09/01/2020,2020,1,MG,381,302,Lote 03,5,1,0,1,0,0,0,1,1,-1.963.953.089,-4.289.903.641
261777,09/01/2020,2020,1,MG,381,739.5,sem obra,5,3,0,1,0,2,0,1,2,-2.161.514.806,-4.524.157.278
261798,09/01/2020,2020,1,MG,381,620.9,sem obra,5,1,0,1,0,0,0,1,1,-2.078.558.012,-4.478.578.864
261846,10/01/2020,2020,1,MG,381,915.8,sem obra,5,1,0,1,0,0,0,1,1,-2.276.087.082,-4.616.278.597
261908,10/01/2020,2020,1,MG,381,901.8,sem obra,5,1,0,1,0,0,0,1,1,-2.263.397.581,-4.607.837.677
262031,10/01/2020,2020,1,MG,381,532,sem obra,1,1,0,0,0,1,0,0,1,-201.904.316,-4.438.268.793
262083,11/01/2020,2020,1,MG,381,503,sem obra,5,2,0,2,0,0,0,2,1,-2.002.957.115,-4.423.570.061
262111,11/01/2020,2020,1,MG,381,484.3,sem obra,5,2,0,1,0,1,0,1,2,-1.995.941.827,-4.408.754.284
262117,11/01/2020,2020,1,MG,381,626.8,sem obra,5,1,0,1,0,0,0,1,1,-20.828.287,-44.807.964
262122,11/01/2020,2020,1,MG,381,352,sem obra,5,2,0,2,0,0,0,2,1,-198.581.485,-4.312.309.926
262124,11/01/2020,2020,1,MG,381,907.4,sem obra,5,1,0,0,1,0,0,1,1,-2.267.446.993,-4.609.750.709
262125,11/01/2020,2020,1,MG,381,481.1,sem obra,5,2,0,0,1,1,0,1,2,-1.995.931.561,-4.408.825.597
262166,11/01/2020,2020,1,MG,381,454,sem obra,5,5,0,3,0,2,0,3,3,-1.984.128.025,-4.387.161.613
262213,11/01/2020,2020,1,MG,381,513,sem obra,1,2,0,0,0,2,0,0,2,-20.099.993,-44.318.903
262240,11/01/2020,2020,1,MG,381,582,sem obra,5,3,0,2,0,1,0,2,1,-2.051.930.642,-4.462.405.985
262255,12/01/2020,2020,1,MG,381,695.3,sem obra,1,1,0,0,0,1,0,0,1,-2.124.896.221,-4.513.826.275
262277,12/01/2020,2020,1,MG,381,452,sem obra,5,7,0,1,2,1,3,3,4,-1.984.184.311,-4.386.517.614
262279,12/01/2020,2020,1,MG,381,484,sem obra,5,2,0,1,0,1,0,1,1,-1.995.531.717,-4.411.722.196
262294,12/01/2020,2020,1,MG,381,456,sem obra,5,3,0,2,0,1,0,2,2,-1.985.094.992,-4.388.817.072
262341,12/01/2020,2020,1,MG,381,720.7,sem obra,5,1,0,1,0,0,0,1,1,-2.146.061.202,-4.520.743.901
262348,12/01/2020,2020,1,MG,381,500,sem obra,5,1,0,1,0,0,0,1,1,-2.002.513.493,-4.423.112.709
262380,12/01/2020,2020,1,MG,381,293,Lote 03,5,2,0,0,1,1,0,1,2,-1.963.347.301,-4.280.732.632
262391,12/01/2020,2020,1,MG,381,925.1,sem obra,5,2,0,2,0,0,0,2,1,-22.777.207,-4.623.911.301
262431,12/01/2020,2020,1,MG,381,487,sem obra,1,2,0,0,0,2,0,0,2,-1.995.586.853,-4.414.609.501
262456,12/01/2020,2020,1,MG,381,477.2,sem obra,5,2,0,1,0,1,0,1,2,-1.996.179.268,-4.405.041.676
262468,13/01/2020,2020,1,MG,381,525,sem obra,13,1,1,0,0,0,0,0,1,-2.016.710.798,-4.433.422.398
262472,13/01/2020,2020,1,MG,381,946.6,sem obra,5,2,0,1,0,1,0,1,1,-2.286.420.936,-4.634.555.882
262536,13/01/2020,2020,1,MG,381,358,sem obra,5,2,0,1,0,1,0,1,2,-1.985.592.801,-4.321.689.055
262543,13/01/2020,2020,1,MG,381,347,sem obra,5,3,0,2,0,1,0,2,3,-1.985.407.113,-4.313.180.602
262570,13/01/2020,2020,1,MG,381,574,sem obra,5,1,0,1,0,0,0,1,1,-2.046.631.134,-4.457.958.977
262580,13/01/2020,2020,1,MG,381,490,sem obra,5,6,0,1,0,5,0,1,2,-1.996.502.819,-4.417.422.195
262586,13/01/2020,2020,1,MG,381,7,sem obra,5,1,0,1,0,0,0,1,1,-1.996.825,-44.198.708
262590,13/01/2020,2020,1,MG,381,674,sem obra,5,1,0,1,0,0,0,1,1,-21.107.021,-4.509.114
262593,13/01/2020,2020,1,MG,381,821,sem obra,5,5,0,2,0,1,2,2,2,-2.211.209.226,-4.574.742.779
262646,13/01/2020,2020,1,MG,381,487,sem obra,5,2,0,1,0,1,0,1,2,-1.995.586.853,-4.414.609.501
262667,13/01/2020,2020,1,MG,381,484.9,sem obra,13,2,1,1,0,0,0,1,1,-1.995.531.717,-4.411.722.196
262704,14/01/2020,2020,1,MG,381,493.2,sem obra,5,2,0,1,0,1,0,1,2,-1.997.670.801,-4.419.962.698
262722,14/01/2020,2020,1,MG,381,4.8,sem obra,1,1,0,0,0,0,1,0,1,-1.996.825,-44.198.708
262724,14/01/2020,2020,1,MG,381,345,sem obra,5,2,0,2,0,0,0,2,1,-1.986.363.214,-4.312.254.285
262729,14/01/2020,2020,1,MG,381,708.7,sem obra,5,3,0,1,0,1,1,1,2,-21.370.524,-45.188.652
262777,14/01/2020,2020,1,MG,381,947,sem obra,5,3,0,2,0,1,0,2,3,-2.287.479.042,-4.636.655.782
262806,14/01/2020,2020,1,MG,381,622.5,sem obra,5,2,0,2,0,0,0,2,1,-2.080.221.112,-4.479.031.349
262861,14/01/2020,2020,1,MG,381,365,sem obra,5,2,0,0,1,1,0,1,2,-19.854.651,-43.261.071
262932,15/01/2020,2020,1,MG,381,433,sem obra,5,11,0,7,0,4,0,7,6,-1.978.673.408,-4.373.313.904
262937,15/01/2020,2020,1,MG,381,480.8,sem obra,5,1,0,1,0,0,0,1,1,-1.995.749.597,-4.407.899.901
262954,15/01/2020,2020,1,MG,381,657,sem obra,1,2,0,0,0,1,1,0,2,-2.101.108.617,-4.498.405.087
262976,15/01/2020,2020,1,MG,381,567.1,sem obra,5,1,0,1,0,0,0,1,1,-2.042.174.833,-4.453.677.185
262983,15/01/2020,2020,1,MG,381,369,sem obra,5,1,0,1,0,0,0,1,1,-1.984.812.433,-432.531.812
263000,15/01/2020,2020,1,MG,381,501,sem obra,5,3,0,1,0,1,1,1,3,-2.001.329.004,-4.422.077
263024,15/01/2020,2020,1,MG,381,524.5,sem obra,13,2,1,0,0,1,0,0,1,-20.160.736,-44.329.843
263039,15/01/2020,2020,1,MG,381,579.2,sem obra,5,1,0,1,0,0,0,1,1,-2.049.967.704,-4.460.847.254
263043,15/01/2020,2020,1,MG,381,816.1,sem obra,13,1,1,0,0,0,0,0,1,-220.934.877,-4.571.077.521
263057,16/01/2020,2020,1,MG,381,778.7,sem obra,5,1,0,1,0,0,0,1,1,-2.183.280.868,-4.550.064.606
263061,16/01/2020,2020,1,MG,381,897.7,sem obra,5,4,0,4,0,0,0,4,2,-2.263.961.103,-4.608.077.997
263096,16/01/2020,2020,1,MG,381,504,sem obra,1,1,0,0,0,0,1,0,1,-2.004.164.508,-4.426.386.697
263100,16/01/2020,2020,1,MG,381,681.5,sem obra,1,1,0,0,0,1,0,0,1,-2.116.800.802,-4.512.657.489
263104,16/01/2020,2020,1,MG,381,602.9,sem obra,5,3,0,2,0,1,0,2,1,-2.061.726.831,-4.473.551.381
263117,16/01/2020,2020,1,MG,381,349,sem obra,5,4,0,0,3,1,0,3,2,-198.499.239,-4.314.868.105
263121,16/01/2020,2020,1,MG,381,484.3,sem obra,5,3,0,0,1,1,1,1,3,-1.995.531.717,-4.411.722.196
263172,16/01/2020,2020,1,MG,381,758.8,sem obra,5,4,0,1,0,2,1,1,2,-2.170.752.761,-4.537.422.642
263186,16/01/2020,2020,1,MG,381,941,sem obra,5,3,0,2,0,1,0,2,1,-2.286.021.873,-4.634.260.711
263195,16/01/2020,2020,1,MG,381,297,Lote 03,5,3,0,0,1,1,1,1,2,-1.963.049.511,-4.287.799.502
263229,16/01/2020,2020,1,MG,381,485,sem obra,5,3,0,2,0,1,0,2,2,-1.995.659.361,-4.412.622.893
263270,16/01/2020,2020,1,MG,381,414,Lote7,5,1,0,1,0,0,0,1,1,-197.440.281,-4.361.553.391
263275,16/01/2020,2020,1,MG,381,168,sem obra,5,2,0,0,1,1,0,1,2,-1.896.571.703,-4.208.181.098
263295,17/01/2020,2020,1,MG,381,484.8,sem obra,5,4,0,3,0,0,1,3,3,-1.995.531.717,-4.411.722.196
263298,17/01/2020,2020,1,MG,381,886,sem obra,1,1,0,0,0,1,0,0,1,-2.255.262.102,-4.603.939.916
263312,17/01/2020,2020,1,MG,381,569.9,sem obra,5,7,0,3,0,4,0,3,3,-2.043.178.144,-4.455.193.736
263324,17/01/2020,2020,1,MG,381,753,sem obra,5,1,0,1,0,0,0,1,1,-2.167.856.574,-4.534.113.742
263332,17/01/2020,2020,1,MG,381,488.9,sem obra,5,5,0,1,1,3,0,2,3,-199.598.656,-4.415.489.715
263348,17/01/2020,2020,1,MG,381,932.8,sem obra,5,1,0,1,0,0,0,1,1,-2.281.753.564,-462.945.665
263367,17/01/2020,2020,1,MG,381,348,sem obra,5,4,0,3,1,0,0,4,1,-1.985.243.846,-4.314.084.419
263383,17/01/2020,2020,1,MG,381,422,Lote7,5,5,0,1,2,1,1,3,2,-1.974.699.364,-4.361.949.921
263456,17/01/2020,2020,1,MG,381,482.9,sem obra,1,2,0,0,0,2,0,0,1,-19.955.532,-44.097.209
263462,17/01/2020,2020,1,MG,381,480.8,sem obra,5,6,0,1,0,5,0,1,2,-1.995.749.597,-4.407.899.901
263476,17/01/2020,2020,1,MG,381,482,sem obra,1,1,0,0,0,1,0,0,1,-19.955.532,-44.097.209
263492,18/01/2020,2020,1,MG,381,451,sem obra,13,2,1,1,0,0,0,1,1,-198.342,-4.385.194
263506,18/01/2020,2020,1,MG,381,895.1,sem obra,5,3,0,3,0,0,0,3,1,-2.262.324.893,-4.607.503.911
263511,18/01/2020,2020,1,MG,381,486.5,sem obra,1,1,0,0,0,1,0,0,1,-1.995.644.414,-4.413.611.598
263513,18/01/2020,2020,1,MG,381,856,sem obra,5,1,0,1,0,0,0,1,1,-2.232.871.415,-4.591.398.482
