id,data_inversa,ano,mes,uf,br,km,Duplicação,UPS/km,UPS,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
262125,11/01/2020,2020,1,MG,381,481.1,sem obra,0.00565610859728507,5,2,0,0,1,1,0,1,2
262166,11/01/2020,2020,1,MG,381,454,sem obra,0.00565610859728507,5,5,0,3,0,2,0,3,3
262213,11/01/2020,2020,1,MG,381,513,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,2
262240,11/01/2020,2020,1,MG,381,582,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,1
262255,12/01/2020,2020,1,MG,381,695.3,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
262277,12/01/2020,2020,1,MG,381,452,sem obra,0.00565610859728507,5,7,0,1,2,1,3,3,4
262279,12/01/2020,2020,1,MG,381,484,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
262294,12/01/2020,2020,1,MG,381,456,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,2
262341,12/01/2020,2020,1,MG,381,720.7,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
262348,12/01/2020,2020,1,MG,381,500,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
262380,12/01/2020,2020,1,MG,381,293,Lote 3,0.174825174825175,5,2,0,0,1,1,0,1,2
262391,12/01/2020,2020,1,MG,381,925.1,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
262431,12/01/2020,2020,1,MG,381,487,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,2
262456,12/01/2020,2020,1,MG,381,477.2,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
262468,13/01/2020,2020,1,MG,381,525,sem obra,0.0147058823529412,13,1,1,0,0,0,0,0,1
262472,13/01/2020,2020,1,MG,381,946.6,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
262536,13/01/2020,2020,1,MG,381,358,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
262543,13/01/2020,2020,1,MG,381,347,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,3
262570,13/01/2020,2020,1,MG,381,574,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
262580,13/01/2020,2020,1,MG,381,490,sem obra,0.00565610859728507,5,6,0,1,0,5,0,1,2
262586,13/01/2020,2020,1,MG,381,7,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
262590,13/01/2020,2020,1,MG,381,674,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
262593,13/01/2020,2020,1,MG,381,821,sem obra,0.00565610859728507,5,5,0,2,0,1,2,2,2
262646,13/01/2020,2020,1,MG,381,487,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
262667,13/01/2020,2020,1,MG,381,484.9,sem obra,0.0147058823529412,13,2,1,1,0,0,0,1,1
262704,14/01/2020,2020,1,MG,381,493.2,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
262722,14/01/2020,2020,1,MG,381,4.8,sem obra,0.00113122171945701,1,1,0,0,0,0,1,0,1
262724,14/01/2020,2020,1,MG,381,345,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
262729,14/01/2020,2020,1,MG,381,708.7,sem obra,0.00565610859728507,5,3,0,1,0,1,1,1,2
262777,14/01/2020,2020,1,MG,381,947,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,3
262806,14/01/2020,2020,1,MG,381,622.5,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
262861,14/01/2020,2020,1,MG,381,365,sem obra,0.00565610859728507,5,2,0,0,1,1,0,1,2
262932,15/01/2020,2020,1,MG,381,433,sem obra,0.00565610859728507,5,11,0,7,0,4,0,7,6
262937,15/01/2020,2020,1,MG,381,480.8,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
262954,15/01/2020,2020,1,MG,381,657,sem obra,0.00113122171945701,1,2,0,0,0,1,1,0,2
262976,15/01/2020,2020,1,MG,381,567.1,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
262983,15/01/2020,2020,1,MG,381,369,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
263000,15/01/2020,2020,1,MG,381,501,sem obra,0.00565610859728507,5,3,0,1,0,1,1,1,3
263024,15/01/2020,2020,1,MG,381,524.5,sem obra,0.0147058823529412,13,2,1,0,0,1,0,0,1
263039,15/01/2020,2020,1,MG,381,579.2,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
263043,15/01/2020,2020,1,MG,381,816.1,sem obra,0.0147058823529412,13,1,1,0,0,0,0,0,1
263057,16/01/2020,2020,1,MG,381,778.7,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
263061,16/01/2020,2020,1,MG,381,897.7,sem obra,0.00565610859728507,5,4,0,4,0,0,0,4,2
263096,16/01/2020,2020,1,MG,381,504,sem obra,0.00113122171945701,1,1,0,0,0,0,1,0,1
263100,16/01/2020,2020,1,MG,381,681.5,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
263104,16/01/2020,2020,1,MG,381,602.9,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,1
263117,16/01/2020,2020,1,MG,381,349,sem obra,0.00565610859728507,5,4,0,0,3,1,0,3,2
263121,16/01/2020,2020,1,MG,381,484.3,sem obra,0.00565610859728507,5,3,0,0,1,1,1,1,3
263172,16/01/2020,2020,1,MG,381,758.8,sem obra,0.00565610859728507,5,4,0,1,0,2,1,1,2
263186,16/01/2020,2020,1,MG,381,941,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,1
263195,16/01/2020,2020,1,MG,381,297,Lote 3,0.174825174825175,5,3,0,0,1,1,1,1,2
263229,16/01/2020,2020,1,MG,381,485,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,2
263270,16/01/2020,2020,1,MG,381,414,Lote 7,0.133333333333333,5,1,0,1,0,0,0,1,1
263275,16/01/2020,2020,1,MG,381,168,sem obra,0.00565610859728507,5,2,0,0,1,1,0,1,2
263295,17/01/2020,2020,1,MG,381,484.8,sem obra,0.00565610859728507,5,4,0,3,0,0,1,3,3
263298,17/01/2020,2020,1,MG,381,886,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
263312,17/01/2020,2020,1,MG,381,569.9,sem obra,0.00565610859728507,5,7,0,3,0,4,0,3,3
263324,17/01/2020,2020,1,MG,381,753,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
263332,17/01/2020,2020,1,MG,381,488.9,sem obra,0.00565610859728507,5,5,0,1,1,3,0,2,3
263348,17/01/2020,2020,1,MG,381,932.8,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
263367,17/01/2020,2020,1,MG,381,348,sem obra,0.00565610859728507,5,4,0,3,1,0,0,4,1
263383,17/01/2020,2020,1,MG,381,422,Lote 7,0.133333333333333,5,5,0,1,2,1,1,3,2
263456,17/01/2020,2020,1,MG,381,482.9,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,1
263462,17/01/2020,2020,1,MG,381,480.8,sem obra,0.00565610859728507,5,6,0,1,0,5,0,1,2
263476,17/01/2020,2020,1,MG,381,482,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
